"Tabela 9886 - Pessoas de 15 anos ou mais de idade residentes em favelas e comunidades urbanas, por alfabetização, cor ou raça, sexo e grupos de idade, segundo as Favelas e Comunidades Urbanas",,,,,,,,,,,,,,
Variável - Pessoas de 15 anos ou mais de idade residentes em favelas e comunidades urbanas (Pessoas),,,,,,,,,,,,,,
Favela e Comunidade Urbana 2022,Sexo,Grupo de idade,Ano x Alfabetização x Cor ou raça,,,,,,,,,,,
Favela e Comunidade Urbana 2022,Sexo,Grupo de idade,2022,,,,,,,,,,,
Favela e Comunidade Urbana 2022,Sexo,Grupo de idade,Alfabetizadas,,,,,,Não alfabetizadas,,,,,
Favela e Comunidade Urbana 2022,Sexo,Grupo de idade,Branca,Preta,Amarela,Parda,Indígena,Sem declaração,Branca,Preta,Amarela,Parda,Indígena,Sem declaração
Vila Mantiqueira - Belo Horizonte (MG),Homens,35 a 44 anos,9,4,-,20,-,-,1,-,-,-,-,-
Vila Mantiqueira - Belo Horizonte (MG),Homens,45 a 54 anos,2,6,-,18,-,-,-,-,-,1,-,-
Vila Mantiqueira - Belo Horizonte (MG),Homens,55 a 64 anos,4,4,-,7,-,-,-,1,-,2,-,-
Vila Mantiqueira - Belo Horizonte (MG),Homens,65 anos ou mais,1,-,-,12,-,-,-,1,-,3,-,-
Vila Mantiqueira - Belo Horizonte (MG),Homens,75 anos ou mais,-,-,-,3,-,-,-,-,-,2,-,-
Vila Mantiqueira - Belo Horizonte (MG),Homens,80 anos ou mais,-,-,-,1,-,-,-,-,-,-,-,-
Vila Mantiqueira - Belo Horizonte (MG),Mulheres,15 a 19 anos,1,-,-,8,-,-,-,-,-,-,-,-
Vila Mantiqueira - Belo Horizonte (MG),Mulheres,20 a 24 anos,3,4,-,8,-,-,-,-,-,-,-,-
Vila Mantiqueira - Belo Horizonte (MG),Mulheres,25 a 34 anos,5,9,-,13,-,-,-,-,-,1,-,-
Vila Mantiqueira - Belo Horizonte (MG),Mulheres,35 a 44 anos,8,6,-,20,-,-,-,-,-,-,-,-
Vila Mantiqueira - Belo Horizonte (MG),Mulheres,45 a 54 anos,5,8,-,18,-,-,-,-,-,2,-,-
Vila Mantiqueira - Belo Horizonte (MG),Mulheres,55 a 64 anos,4,4,-,9,-,-,1,-,-,2,-,-
Vila Mantiqueira - Belo Horizonte (MG),Mulheres,65 anos ou mais,6,3,-,12,-,-,2,-,-,6,-,-
Vila Mantiqueira - Belo Horizonte (MG),Mulheres,75 anos ou mais,4,2,-,3,-,-,2,-,-,2,-,-
Vila Mantiqueira - Belo Horizonte (MG),Mulheres,80 anos ou mais,1,2,-,1,-,-,1,-,-,1,-,-
Vila Santo Antônio Barroquinha - Belo Horizonte (MG),Homens,15 a 19 anos,4,3,-,5,-,-,-,-,-,-,-,-
Vila Santo Antônio Barroquinha - Belo Horizonte (MG),Homens,20 a 24 anos,4,-,-,9,-,-,-,-,-,-,-,-
Vila Santo Antônio Barroquinha - Belo Horizonte (MG),Homens,25 a 34 anos,3,13,-,18,-,-,-,-,-,2,-,-
Vila Santo Antônio Barroquinha - Belo Horizonte (MG),Homens,35 a 44 anos,7,14,-,14,-,-,-,-,-,-,-,-
Vila Santo Antônio Barroquinha - Belo Horizonte (MG),Homens,45 a 54 anos,10,3,-,10,-,-,-,1,-,1,-,-
